row_index,born,bornCity,bornCountry,bornCountryCode,died,diedCountry,diedCountryCode,firstname,gender,id,surname
798,1947-07-30,Paris,France,FR,0000-00-00,,,Françoise,female,824,Barré-Sinoussi
799,1932-08-18,Chabris,France,FR,0000-00-00,,,Luc,male,825,Montagnier
800,1921-01-18,Tokyo,Japan,JP,2015-07-05,Japan,JP,Yoichiro,male,826,Nambu
801,1944-04-07,Nagoya,Japan,JP,0000-00-00,,,Makoto,male,827,Kobayashi
802,1940-02-07,Nagoya,Japan,JP,0000-00-00,,,Toshihide,male,828,Maskawa
803,1928-08-27,Kyoto,Japan,JP,0000-00-00,,,Osamu,male,829,Shimomura
804,1947-01-15,"Chicago, IL",USA,US,0000-00-00,,,Martin,male,830,Chalfie
805,1952-02-01,"New York, NY",USA,US,2016-08-24,USA,US,Roger Y.,male,831,Tsien
806,1940-04-13,Nice,France,FR,0000-00-00,,,Jean-Marie Gustave,male,832,Le Clézio
807,1937-06-23,Viipuri (now Vyborg),Finland,FI,0000-00-00,,,Martti,male,833,Ahtisaari
808,1953-02-28,"New York, NY",USA,US,0000-00-00,,,Paul,male,834,Krugman
809,1948-11-26,"Hobart, Tasmania",Australia,AU,0000-00-00,,,Elizabeth H.,female,835,Blackburn
810,1961-04-15,"San Diego, CA",USA,US,0000-00-00,,,Carol W.,female,836,Greider
811,1952-11-09,London,United Kingdom,GB,0000-00-00,,,Jack W.,male,837,Szostak
812,1933-11-04,Shanghai,China,CN,0000-00-00,,,Charles Kuen,male,838,Kao
813,1924-08-19,"Amherst, NS",Canada,CA,2011-05-07,Canada,CA,Willard S.,male,839,Boyle
814,1930-05-10,"White Plains, NY",USA,US,0000-00-00,,,George E.,male,840,Smith
815,0000-00-00,"Chidambaram, Tamil Nadu",India,IN,0000-00-00,,,Venkatraman,male,841,Ramakrishnan
816,1940-08-23,"Milwaukee, WI",USA,US,0000-00-00,,,Thomas A.,male,842,Steitz
817,1939-06-22,Jerusalem,British Mandate of Palestine (now Israel),IL,0000-00-00,,,Ada E.,female,843,Yonath
818,1953-08-17,"Nitzkydorf, Banat",Romania,RO,0000-00-00,,,Herta,female,844,Müller
819,1961-08-04,"Honolulu, HI",USA,US,0000-00-00,,,Barack H.,male,845,Obama
820,1933-08-07,"Los Angeles, CA",USA,US,2012-06-12,USA,US,Elinor,female,846,Ostrom
821,1932-09-27,"Superior, WI",USA,US,0000-00-00,,,Oliver E.,male,847,Williamson
822,1925-09-27,Batley,United Kingdom,GB,2013-04-10,United Kingdom,GB,Robert G.,male,848,Edwards
823,1958-10-21,Sochi,Russia,RU,0000-00-00,,,Andre,male,849,Geim
824,1974-08-23,Nizhny Tagil,Russia,RU,0000-00-00,,,Konstantin,male,850,Novoselov
825,1931-08-15,"Springfield, MA",USA,US,2015-10-09,Philippines,,Richard F.,male,851,Heck
826,1935-07-14,Changchun,China,CN,0000-00-00,,,Ei-ichi,male,852,Negishi
827,1930-09-12,Mukawa,Japan,JP,0000-00-00,,,Akira,male,853,Suzuki
828,1936-03-28,Arequipa,Peru,PE,0000-00-00,,,Mario,male,854,Vargas Llosa
829,1955-12-28,Changchun,China,CN,2017-07-13,China,CN,Liu,male,855,Xiaobo
830,1940-04-29,"New York, NY",USA,US,0000-00-00,,,Peter A.,male,856,Diamond
831,1939-02-02,"Enterprise, OR",USA,US,2014-01-09,USA,US,Dale T.,male,857,Mortensen
832,1948-02-20,Nicosia,Cyprus,CY,0000-00-00,,,Christopher A.,male,858,Pissarides
833,1957-12-29,"Chicago, IL",USA,US,0000-00-00,,,Bruce A.,male,861,Beutler
834,1941-08-02,Echternach,Luxembourg,LU,0000-00-00,,,Jules A.,male,862,Hoffmann
835,1943-01-14,Montreal,Canada,CA,2011-09-30,,,Ralph M.,male,863,Steinman
836,0000-00-00,"Champaign-Urbana, IL",USA,US,0000-00-00,,,Saul,male,864,Perlmutter
837,1967-02-24,"Missoula, MT",USA,US,0000-00-00,,,Brian P.,male,865,Schmidt
838,1969-12-16,"Washington, DC",USA,US,0000-00-00,,,Adam G.,male,866,Riess
839,1941-01-24,Tel Aviv,British Mandate of Palestine (now Israel),IL,0000-00-00,,,Dan,male,867,Shechtman
840,1931-04-15,Stockholm,Sweden,SE,2015-03-26,Sweden,SE,Tomas,male,868,Tranströmer
841,1938-10-29,Monrovia,Liberia,LR,0000-00-00,,,Ellen,female,869,Johnson Sirleaf
842,1972-02-01,Monrovia,Liberia,LR,0000-00-00,,,Leymah,female,870,Gbowee
843,1979-02-07,Ta'izz,Yemen,YE,0000-00-00,,,Tawakkol,female,871,Karman
844,1943-07-19,"Pasadena, CA",USA,US,0000-00-00,,,Thomas J.,male,872,Sargent
845,1942-10-21,"Washington, DC",USA,US,0000-00-00,,,Christopher A.,male,873,Sims
846,1933-10-02,Dippenhall,United Kingdom,GB,0000-00-00,,,Sir John B.,male,874,Gurdon
847,1962-09-04,Osaka,Japan,JP,0000-00-00,,,Shinya,male,875,Yamanaka
848,1944-09-11,Casablanca,Morocco,MA,0000-00-00,,,Serge,male,876,Haroche
849,1944-02-24,"Milwaukee, WI",USA,US,0000-00-00,,,David J.,male,877,Wineland
850,1943-04-15,"New York, NY",USA,US,0000-00-00,,,Robert J.,male,878,Lefkowitz
851,1955-05-30,"Little Falls, MN",USA,US,0000-00-00,,,Brian K.,male,879,Kobilka
852,1955-02-02,Gaomi,China,CN,0000-00-00,,,Mo,male,880,Yan
853,0000-00-00,,,,0000-00-00,,,European Union (EU),org,881,
854,1951-12-18,"New York, NY",USA,US,0000-00-00,,,Alvin E.,male,882,Roth
855,1923-06-02,"Cambridge, MA",USA,US,2016-03-12,USA,US,Lloyd S.,male,883,Shapley
856,1950-11-03,"Haverhill, MA",USA,US,0000-00-00,,,James E.,male,884,Rothman
857,1948-12-30,"St. Paul, MN",USA,US,0000-00-00,,,Randy W.,male,885,Schekman
858,1955-12-22,Göttingen,Germany,DE,0000-00-00,,,Thomas C.,male,886,Südhof
859,1932-11-06,Etterbeek,Belgium,BE,0000-00-00,,,François,male,887,Englert
860,1929-05-29,Newcastle upon Tyne,United Kingdom,GB,0000-00-00,,,Peter W.,male,888,Higgs
861,1930-03-15,Vienna,Austria,AT,0000-00-00,,,Martin,male,889,Karplus
862,1947-05-09,Pretoria,South Africa,ZA,0000-00-00,,,Michael,male,890,Levitt
863,1940-11-20,Kibbutz Sde-Nahum,British Mandate of Palestine (now Israel),IL,0000-00-00,,,Arieh,male,891,Warshel
864,1931-07-10,Wingham,Canada,CA,0000-00-00,,,Alice,female,892,Munro
865,0000-00-00,,,,0000-00-00,,,Organisation for the Prohibition of Chemical Weapons (OPCW),org,893,
866,1939-02-14,"Boston, MA",USA,US,0000-00-00,,,Eugene F.,male,894,Fama
867,1952-10-26,"Urbana, IL",USA,US,0000-00-00,,,Lars Peter,male,895,Hansen
868,1946-03-29,"Detroit, MI",USA,US,0000-00-00,,,Robert J.,male,896,Shiller
869,0000-00-00,,,,0000-00-00,,,,male,897,
870,0000-00-00,,,,0000-00-00,,,,male,898,
871,0000-00-00,,,,0000-00-00,,,,male,899,
872,0000-00-00,,,,0000-00-00,,,,male,900,
873,0000-00-00,,,,0000-00-00,,,,male,901,
874,0000-00-00,,,,0000-00-00,,,,male,902,
875,1939-11-18,"New York, NY",USA,US,0000-00-00,,,John,male,903,O'Keefe
876,1963-01-04,Fosnavåg,Norway,NO,0000-00-00,,,May-Britt,female,904,Moser
877,1962-04-27,Ålesund,Norway,NO,0000-00-00,,,Edvard I.,male,905,Moser
878,1929-01-30,Chiran,Japan,JP,0000-00-00,,,Isamu,male,906,Akasaki
879,1960-09-11,Hamamatsu,Japan,JP,0000-00-00,,,Hiroshi,male,907,Amano
880,1954-05-22,Ikata,Japan,JP,0000-00-00,,,Shuji,male,908,Nakamura
881,1960-01-13,"Ann Arbor, MI",USA,US,0000-00-00,,,Eric,male,909,Betzig
882,1962-12-23,Arad,Romania,RO,0000-00-00,,,Stefan W.,male,910,Hell
883,1953-06-24,"Pleasanton, CA",USA,US,0000-00-00,,,William E.,male,911,Moerner
884,1945-07-30,Paris,France,FR,0000-00-00,,,Patrick,male,912,Modiano
885,1954-01-11,Vidisha,India,IN,0000-00-00,,,Kailash,male,913,Satyarthi
886,1997-07-12,Mingora,Pakistan,PK,0000-00-00,,,Malala,female,914,Yousafzai
887,1953-08-09,Troyes,France,FR,0000-00-00,,,Jean,male,915,Tirole
888,1930-06-28,Ramelton,Ireland,IE,0000-00-00,,,William C.,male,916,Campbell
889,1935-07-12,Yamanashi Prefecture,Japan,JP,0000-00-00,,,Satoshi,male,917,Ōmura
890,1930-12-30,Zhejiang Ningbo,China,CN,0000-00-00,,,Youyou,female,918,Tu
891,1959-03-09,Higashimatsuyama,Japan,JP,0000-00-00,,,Takaaki,male,919,Kajita
892,1943-08-29,Sydney,Canada,CA,0000-00-00,,,Arthur B.,male,920,McDonald
893,1938-01-28,Stockholm,Sweden,SE,0000-00-00,,,Tomas,male,921,Lindahl
894,1946-06-13,"Raton, NM",USA,US,0000-00-00,,,Paul,male,922,Modrich
895,1946-09-08,Savur,Turkey,TR,0000-00-00,,,Aziz,male,923,Sancar
896,1948-05-31,Ivano-Frankivsk,Ukraine,UA,0000-00-00,,,Svetlana,female,924,Alexievich
897,0000-00-00,,,,0000-00-00,,,National Dialogue Quartet,org,925,
898,1945-10-19,Edinburgh,Scotland,GB,0000-00-00,,,Angus,male,926,Deaton
899,1945-02-09,Fukuoka,Japan,JP,0000-00-00,,,Yoshinori,male,927,Ohsumi
900,1934-09-21,Bearsden,United Kingdom,GB,0000-00-00,,,David J.,male,928,Thouless
901,1951-09-14,London,United Kingdom,GB,0000-00-00,,,F. Duncan M.,male,929,Haldane
902,1943-06-22,Aberdeen,United Kingdom,GB,0000-00-00,,,J. Michael,male,930,Kosterlitz
903,1944-10-21,Paris,France,FR,0000-00-00,,,Jean-Pierre,male,931,Sauvage
904,1942-05-24,Edinburgh,United Kingdom,GB,0000-00-00,,,Sir J. Fraser,male,932,Stoddart
905,1951-05-18,Barger-Compascuum,the Netherlands,NL,0000-00-00,,,Bernard L.,male,933,Feringa
906,1951-08-10,Bogotá,Colombia,CO,0000-00-00,,,Juan Manuel,male,934,Santos
907,1948-10-09,London,United Kingdom,GB,0000-00-00,,,Oliver,male,935,Hart
908,1949-04-18,Helsinki,Finland,FI,0000-00-00,,,Bengt,male,936,Holmström
909,1941-05-24,"Duluth, MN",USA,US,0000-00-00,,,Bob,male,937,Dylan
910,0000-00-00,"New York, NY",USA,US,0000-00-00,,,Jeffrey C.,male,938,Hall
911,0000-00-00,"Kansas City, MO",USA,US,0000-00-00,,,Michael,male,939,Rosbash
912,0000-00-00,"Miami, FL",USA,US,0000-00-00,,,Michael W.,male,940,Young
913,1932-09-29,Berlin,Germany,DE,0000-00-00,,,Rainer,male,941,Weiss
914,1936-01-27,"Omaha, NE",USA,US,0000-00-00,,,Barry C.,male,942,Barish
915,1940-06-01,"Logan, UT",USA,US,0000-00-00,,,Kip S.,male,943,Thorne
916,1942-06-08,Aigle,Switzerland,CH,0000-00-00,,,Jacques,male,944,Dubochet
917,1940-09-12,Siegen,Germany,DE,0000-00-00,,,Joachim,male,945,Frank
918,1945-07-19,Edinburgh,Scotland,GB,0000-00-00,,,Richard,male,946,Henderson
919,1954-11-08,Nagasaki,Japan,JP,0000-00-00,,,Kazuo,male,947,Ishiguro
920,0000-00-00,,,,0000-00-00,,,International Campaign to Abolish Nuclear Weapons (ICAN),org,948,
921,1945-09-12,"East Orange, NJ",USA,US,0000-00-00,,,Richard H.,male,949,Thaler
